Metric,Train,Test
Mean Squared Error,1050546782.3614542,1596393503.1677032
Root Mean Squared Error,32412.139428946284,39954.893356980734
Mean Absolute Error,23320.37372011492,28296.027173488466
R-squared,0.9637370968341539,0.9452477296928913
